"region","dept_id","country","metric","type_group","Org L3","Org L4","Org L5","TA Leader","TA Leader L2","brady_aws","aws","dept","y"
"APJC","4112","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","NATCG","FINUALAH",,"Y","AWS",,15
"APJC","4112","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","NATCG","FINUALAH",,"Y","AWS",,14
"APJC","4112","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","NATCG","FINUALAH",,"Y","AWS",,14
"APJC","4113","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JRB","FINUALAH",,"Y","AWS",,1
"APJC","4113","CHN","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JRB","FINUALAH",,"Y","AWS",,15
"APJC","4113","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","JRB","FINUALAH",,"Y","AWS",,1
"APJC","4114","PHL","BIS Plan","2021 Q2 Guidance","GARMAN","RABUCHIN","MATTBUT","FINUALAH",,"Y","AWS",,2
"APJC","4152","IND","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","DOUGYEUM","FINUALAH",,"Y","AWS",,4
"APJC","4155","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","FINUALAH",,"Y","AWS",,79
"APJC","4155","IND","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","FINUALAH",,"Y","AWS",,26
"APJC","4155","JPN","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","FINUALAH",,"Y","AWS",,12
"APJC","4155","KOR","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","FINUALAH",,"Y","AWS",,12
"APJC","4155","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","KLICHTEN","FINUALAH",,"Y","AWS",,133
"APJC","4156","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","TIWAGNE","FINUALAH",,"Y","AWS",,12
"APJC","4156","IND","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","TIWAGNE","FINUALAH",,"Y","AWS",,11
"APJC","4156","SGP","BIS Plan","2021 Q2 Guidance","GARMAN","DOUGYEUM","TIWAGNE","FINUALAH",,"Y","AWS",,12
"APJC","4159","AUS","BIS Plan","2021 Q2 Guidance","GARMAN","MAXPETE","MAXPETE","FINUALAH",,"Y","AWS",,15
